강우사상번호,연도,월,일,시간,유입량_Qt,유입량_Qt_1_P,유입량_Qt_2_P,유입량_Qt_3_P,유입량_Qt_4_P,유입량_Qt_5_P,유역평균강수량_1h,강수량_지점1_1h,강수량_지점2_1h,강수량_지점3_1h,강수량_지점4_1h,수위_지점1_1h,수위_지점2_1h,유역평균강수량_2h,강수량_지점1_2h,강수량_지점2_2h,강수량_지점3_2h,강수량_지점4_2h,수위_지점1_2h,수위_지점2_2h,유역평균강수량_3h,강수량_지점1_3h,강수량_지점2_3h,강수량_지점3_3h,강수량_지점4_3h,수위_지점1_3h,수위_지점2_3h,유역평균강수량_4h,강수량_지점1_4h,강수량_지점2_4h,강수량_지점3_4h,강수량_지점4_4h,수위_지점1_4h,수위_지점2_4h,유역평균강수량_5h,강수량_지점1_5h,강수량_지점2_5h,강수량_지점3_5h,강수량_지점4_5h,수위_지점1_5h,수위_지점2_5h,유역평균강수량_6h,강수량_지점1_6h,강수량_지점2_6h,강수량_지점3_6h,강수량_지점4_6h,수위_지점1_6h,수위_지점2_6h
3,2006,7,11,22,1435.632793,1467.033586,1503.816413,1560.438727,1641.740554,1714.092218,59.1,42,59,51,61,5.02,123.9,59.2,42,59,51,61,5.02,124.05,59.2,42,59,51,61,5.02,124.1333333,59.4,42,59,51,61,5.02,123.5,58.6,42,59,51,61,5.02,123.616,57.8,42,59,48,61,5.02,123.74
3,2006,7,11,23,1398.298088,1435.632793,1467.033586,1503.816413,1560.438727,1641.740554,59.2,42,59,51,61,4.98,123.98125,59.4,42,59,51,61,4.98,124.1333333,59.4,42,59,51,61,4.98,124.2166667,59.7,42,59,51,61,4.98,123.5785714,58.3,42,59,51,61,4.98,123.7,58.1,42,59,48,61,4.98,123.82
3,2006,7,11,24,1356.279548,1398.298088,1435.632793,1467.033586,1503.816413,1560.438727,59.4,42,60,51,61,4.94,124.0625,59.7,42,60,51,61,4.94,124.2166667,59.7,42,60,50,61,4.94,124.3083333,59.2,42,60,51,61,4.94,123.6607143,58.4,42,60,51,61,4.94,123.784,58.4,42,60,43,61,4.94,123.9
3,2006,7,12,1,1313.968753,1356.279548,1398.298088,1435.632793,1467.033586,1503.816413,59.7,42,60,51,61,4.89,124.14375,59.2,42,60,50,61,4.89,124.3083333,59.2,42,60,48,61,4.89,124.3916667,58.9,43,60,51,61,4.89,123.7428571,58.7,43,60,51,61,4.89,123.868,58.7,43,60,40,61,4.89,123.985
3,2006,7,12,2,1275.609823,1313.968753,1356.279548,1398.298088,1435.632793,1467.033586,59.2,42,60,51,61,4.84,124.225,58.9,43,60,48,61,4.84,124.3916667,58.9,43,60,48,61,4.84,124.475,58.9,43,60,52,62,4.84,123.8285714,58.9,43,60,52,62,4.84,123.952,58.9,43,60,39,60,4.84,124.07
3,2006,7,12,3,1244.857022,1275.609823,1313.968753,1356.279548,1398.298088,1435.632793,58.9,42,60,50,61,4.79,124.3125,58.9,43,60,48,61,4.79,124.475,58.9,43,60,43,61,4.79,124.5666667,59.2,43,60,52,62,4.79,123.9142857,59.2,43,60,52,62,4.79,124.036,59.2,43,60,32,59,4.79,124.155
3,2006,7,12,4,1225.217152,1244.857022,1275.609823,1313.968753,1356.279548,1398.298088,58.9,43,61,48,61,4.73,124.4,59.2,43,61,43,61,4.73,124.5666667,59.2,43,61,41,62,4.73,124.65,59.5,43,61,52,60,4.73,123.9964286,59.5,43,61,52,60,4.73,124.116,59.5,43,61,28,56,4.73,124.24
3,2006,7,12,5,1218.195158,1225.217152,1244.857022,1275.609823,1313.968753,1356.279548,59.2,42,61,48,62,4.67,124.4875,59.5,42,61,41,62,4.67,124.65,59.5,42,61,39,60,4.67,124.7416667,60,42,61,53,60,4.67,124.0785714,60,42,61,53,60,4.67,124.2,60,42,61,26,55,4.67,124.32
3,2006,7,12,6,1217.288567,1218.195158,1225.217152,1244.857022,1275.609823,1313.968753,59.5,42,62,44,60,4.62,124.56875,60,42,62,39,60,4.62,124.7416667,60,42,62,32,59,4.62,124.825,60.6,42,62,55,57,4.62,124.1607143,60.6,42,62,55,57,4.62,124.284,60.6,42,62,20,54,4.62,124.4
3,2006,7,12,7,1213.993045,1217.288567,1218.195158,1225.217152,1244.857022,1275.609823,60,42,62,41,59,4.56,124.65,60.6,42,62,32,59,4.56,124.825,60.6,42,62,29,57,4.56,124.9166667,61.3,44,62,56,55,4.56,124.2428571,61.3,44,62,56,55,4.56,124.368,61.3,44,62,18,50,4.56,124.485
3,2006,7,12,8,1201.361104,1213.993045,1217.288567,1218.195158,1225.217152,1244.857022,60.6,42,62,39,57,4.51,124.7375,61.3,44,62,29,57,4.51,124.9166667,61.3,44,62,28,55,4.51,125,62.8,47,62,59,55,4.51,124.325,62.8,47,62,59,55,4.51,124.448,62.8,47,62,19,45,4.51,124.57
3,2006,7,12,9,1178.672607,1201.361104,1213.993045,1217.288567,1218.195158,1225.217152,61.3,42,63,33,55,4.46,124.81875,62.8,47,63,28,55,4.46,125,62.8,47,62,21,54,4.46,125.0833333,67.4,50,62,68,55,4.46,124.4071429,67.4,50,62,68,55,4.46,124.528,67.4,50,63,27,45,4.46,124.655
3,2006,7,12,10,1146.764262,1178.672607,1201.361104,1213.993045,1217.288567,1218.195158,62.8,44,66,31,54,4.42,124.90625,67.4,50,66,21,54,4.42,125.0833333,67.4,50,64,21,51,4.42,125.1666667,73.5,62,64,68,54,4.42,124.4892857,73.5,62,64,68,54,4.42,124.608,73.1,62,65,26,45,4.42,124.735
3,2006,7,12,11,1107.417108,1146.764262,1178.672607,1201.361104,1213.993045,1217.288567,67.4,47,72,29,51,4.38,124.9875,73.5,62,72,21,51,4.38,125.1666667,73.5,62,69,28,49,4.38,125.25,79.8,91,69,68,50,4.38,124.5714286,79.8,91,69,68,50,4.38,124.692,78.5,91,70,24,36,4.38,124.815
3,2006,7,12,12,1066.189518,1107.417108,1146.764262,1178.672607,1201.361104,1213.993045,73.5,50,86,24,49,4.34,125.075,79.8,91,86,28,49,4.34,125.25,79.8,91,81,27,50,4.34,125.325,86.2,107,81,67,48,4.34,124.65,86.2,107,81,67,48,4.34,124.772,84,107,83,23,26,4.34,124.9
3,2006,7,12,13,1029.584203,1066.189518,1107.417108,1146.764262,1178.672607,1201.361104,79.8,62,92,30,50,4.3,125.15625,86.2,107,92,27,50,4.3,125.325,86.2,107,85,26,45,4.3,125.4,89.5,112,85,65,39,4.3,124.7285714,89.5,112,85,65,39,4.3,124.856,84.2,112,87,22,24,4.3,124.98
3,2006,7,12,14,1003.59915,1029.584203,1066.189518,1107.417108,1146.764262,1178.672607,86.2,91,95,28,45,4.27,125.2375,89.5,112,95,26,45,4.27,125.4,89.5,112,85,24,39,4.27,125.4666667,91.7,115,85,65,26,4.27,124.8071429,91.7,115,85,65,26,4.27,124.932,83.3,115,88,22,23,4.27,125.065
3,2006,7,12,15,992.2134611,1003.59915,1029.584203,1066.189518,1107.417108,1146.764262,89.5,107,95,27,39,4.24,125.3125,91.7,115,95,24,39,4.24,125.4666667,91.7,115,78,23,26,4.24,125.525,93.5,118,78,60,24,4.24,124.8821429,93.5,118,78,60,24,4.24,125.004,82.6,118,85,21,21,4.24,125.14
3,2006,7,12,16,995.5887004,992.2134611,1003.59915,1029.584203,1066.189518,1107.417108,91.7,112,96,26,26,4.22,125.38125,93.5,118,95,23,26,4.22,125.525,93.5,118,70,22,24,4.22,125.5833333,95.5,120,70,57,24,4.22,124.9571429,95.1,120,70,57,24,4.22,125.076,81,120,79,20,21,4.22,125.215
3,2006,7,12,17,1000.635155,995.5887004,992.2134611,1003.59915,1029.584203,1066.189518,93.5,115,98,24,24,4.21,125.44375,95.5,120,97,22,24,4.21,125.5833333,95.5,120,66,22,23,4.21,125.6333333,97.2,122,66,56,22,4.21,125.025,95.9,122,66,56,22,4.21,125.144,77.4,122,73,21,20,4.21,125.285
3,2006,7,12,18,990.9502939,1000.635155,995.5887004,992.2134611,1003.59915,1029.584203,95.5,118,97,23,23,4.21,125.5,97.2,122,96,22,23,4.21,125.6333333,97.2,122,60,21,22,4.21,125.6833333,101,145,60,49,22,4.21,125.0928571,99.2,145,60,49,22,4.21,125.216,75.7,145,66,19,19,4.21,125.35
3,2006,7,12,19,957.4227731,990.9502939,1000.635155,995.5887004,992.2134611,1003.59915,97.2,120,96,22,22,4.25,125.55625,101,145,94,21,22,4.25,125.6833333,101,145,55,21,21,4.25,125.725,104.6,154,55,45,22,4.25,125.1607143,100.6,154,55,45,22,4.25,125.28,74,154,60,19,20,4.25,125.415
3,2006,7,12,20,920.1060007,957.4227731,990.9502939,1000.635155,995.5887004,992.2134611,101,122,96,22,21,4.37,125.60625,104.6,154,94,21,21,4.37,125.725,104.6,154,52,21,21,4.37,125.7666667,105,157,52,42,21,4.37,125.225,98.8,157,52,42,21,4.37,125.344,69.1,157,57,18,20,4.37,125.475
3,2006,7,12,21,906.3445727,920.1060007,957.4227731,990.9502939,1000.635155,995.5887004,104.6,145,94,22,21,4.6,125.65625,105,157,91,21,21,4.6,125.7666667,105,157,51,19,20,4.6,125.8,102.7,157,51,34,21,4.6,125.2892857,97.1,157,51,34,21,4.6,125.404,64,157,52,18,20,4.6,125.53
3,2006,7,12,22,941.8874633,906.3445727,920.1060007,957.4227731,990.9502939,1000.635155,105,154,91,21,20,5.02,125.7,102.7,157,84,19,20,5.02,125.8,102.7,157,50,19,21,5.02,125.825,102.1,162,50,31,26,5.02,125.3464286,96,162,50,31,26,5.02,125.46,63.6,162,51,18,26,5.02,125.58
3,2006,7,12,23,1046.101159,941.8874633,906.3445727,920.1060007,957.4227731,990.9502939,102.7,155,86,21,21,5.66,125.7375,102.1,160,77,19,21,5.66,125.825,102.1,160,51,18,20,5.66,125.8416667,102.2,161,51,29,27,5.66,125.4035714,93.3,161,51,29,27,5.66,125.512,64.5,161,52,18,27,5.66,125.625
3,2006,7,12,24,1236.756525,1046.101159,941.8874633,906.3445727,920.1060007,957.4227731,102.1,152,80,19,20,6.3,125.76875,102.2,158,73,18,20,6.3,125.8416667,102.2,158,53,18,26,6.3,125.8666667,103.9,163,53,29,44,6.3,125.4607143,92.7,163,53,29,44,6.3,125.564,68.5,163,54,19,44,6.3,125.665
3,2006,7,13,1,1520.353654,1236.756525,1046.101159,941.8874633,906.3445727,920.1060007,102.2,155,84,19,26,6.66,125.80625,103.9,161,78,18,26,6.66,125.8666667,103.9,161,63,18,27,6.66,125.8833333,105.3,166,63,28,53,6.66,125.5142857,93.2,166,63,28,53,6.66,125.612,74.1,166,64,19,53,6.66,125.71
3,2006,7,13,2,1858.309549,1520.353654,1236.756525,1046.101159,941.8874633,906.3445727,103.9,155,96,18,27,6.89,125.8375,105.3,165,91,18,27,6.89,125.8833333,105.3,165,80,19,44,6.89,125.9083333,103.6,175,80,26,54,6.89,125.5678571,91.2,175,80,26,54,6.89,125.66,77.1,175,81,19,54,6.89,125.75
3,2006,7,13,3,2200.770442,1858.309549,1520.353654,1236.756525,1046.101159,941.8874633,105.3,158,92,18,44,7.22,125.86875,103.6,173,87,19,44,7.22,125.9083333,103.6,173,80,19,53,7.22,125.9416667,102.6,179,80,26,55,7.22,125.6214286,90.5,179,80,26,55,7.22,125.708,81.1,179,81,20,55,7.22,125.79
3,2006,7,13,4,2511.200044,2200.770442,1858.309549,1520.353654,1236.756525,1046.101159,103.6,160,87,19,53,7.78,125.9,102.6,176,86,19,53,7.78,125.9416667,102.6,176,79,19,54,7.78,125.9833333,101.7,208,79,25,55,7.78,125.675,92.9,208,79,25,55,7.78,125.756,85.4,208,80,20,54,7.78,125.83
3,2006,7,13,5,2806.331985,2511.200044,2200.770442,1858.309549,1520.353654,1236.756525,102.6,169,88,19,54,8.3,125.9375,101.7,207,87,19,54,8.3,125.9833333,101.7,207,80,20,55,8.3,126.0333333,101.7,216,80,25,55,8.3,125.7285714,97.1,216,80,25,55,8.3,125.808,90.7,216,81,20,54,8.3,125.875
3,2006,7,13,6,3116.217372,2806.331985,2511.200044,2200.770442,1858.309549,1520.353654,101.7,172,87,19,55,8.56,125.975,101.7,213,86,20,55,8.56,126.0333333,101.7,213,79,20,55,8.56,126.0916667,101.9,216,79,24,55,8.56,125.7857143,98.9,216,79,24,55,8.56,125.864,93,216,80,20,55,8.56,125.92
3,2006,7,13,7,3452.600134,3116.217372,2806.331985,2511.200044,2200.770442,1858.309549,101.7,194,87,20,55,8.63,126.025,101.9,206,86,20,55,8.63,126.0916667,101.9,206,80,20,54,8.63,126.1666667,102.7,210,80,25,57,8.63,125.8464286,100.3,210,80,25,57,8.63,125.924,94.9,210,80,22,57,8.63,125.97
3,2006,7,13,8,3753.99548,3452.600134,3116.217372,2806.331985,2511.200044,2200.770442,101.9,200,86,20,54,8.62,126.0875,102.7,207,85,20,54,8.62,126.1666667,102.7,207,80,20,55,8.62,126.2583333,103.2,209,80,25,59,8.62,125.9142857,100.9,209,80,25,59,8.62,125.988,96.3,209,80,22,59,8.62,126.025
3,2006,7,13,9,3940.61144,3753.99548,3452.600134,3116.217372,2806.331985,2511.200044,102.7,201,86,20,55,8.59,126.1625,103.2,207,85,20,55,8.59,126.2583333,103.2,207,81,22,57,8.59,126.3666667,104.8,229,81,26,59,8.59,125.9857143,102.4,229,81,26,59,8.59,126.06,98.7,229,81,25,59,8.59,126.09
3,2006,7,13,10,3967.231759,3940.61144,3753.99548,3452.600134,3116.217372,2806.331985,103.2,203,85,20,57,8.58,126.25,104.8,227,84,22,57,8.58,126.3666667,104.8,227,81,22,59,8.58,126.4916667,104.6,228,81,26,59,8.58,126.0607143,102.4,228,81,26,59,8.58,126.136,99.6,228,81,25,59,8.58,126.16
